,Maze,Metric,Alternative,P Value,Null Hypothesis
313,Woods101demi-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
314,Woods101demi-v0,full_knowledge_stable_trial_list,smaller,9.673417981244525e-142,Reject
315,Woods102-v0,knowledge_list,two-sided,0.0,Reject
316,Woods102-v0,knowledge_list,larger,1.0,Accept
317,Woods102-v0,knowledge_list,smaller,0.0,Reject
318,Woods102-v0,population_list,two-sided,0.0011269615240175521,Reject
319,Woods102-v0,population_list,larger,0.9994365192379913,Accept
320,Woods102-v0,population_list,smaller,0.0005634807620087761,Reject
321,Woods102-v0,reliable_list,two-sided,0.007590873732447964,Reject
322,Woods102-v0,reliable_list,larger,0.996204563133776,Accept
323,Woods102-v0,reliable_list,smaller,0.003795436866223982,Reject
324,Woods102-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
325,Woods102-v0,pees_matching_non_aliased_states_list,larger,,Accept
326,Woods102-v0,pees_matching_non_aliased_states_list,smaller,,Accept
327,Woods102-v0,mean_reliable_classifier_specificity_list,two-sided,0.00015930923823865537,Reject
328,Woods102-v0,mean_reliable_classifier_specificity_list,larger,0.9999203453808807,Accept
329,Woods102-v0,mean_reliable_classifier_specificity_list,smaller,7.965461911932768e-05,Reject
330,Woods102-v0,full_knowledge_first_trial_list,two-sided,4.6298845382016145e-149,Reject
331,Woods102-v0,full_knowledge_first_trial_list,larger,1.0,Accept
332,Woods102-v0,full_knowledge_first_trial_list,smaller,2.3149422691008073e-149,Reject
333,Woods102-v0,full_knowledge_stable_trial_list,two-sided,4.6298845382016145e-149,Reject
334,Woods102-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
335,Woods102-v0,full_knowledge_stable_trial_list,smaller,2.3149422691008073e-149,Reject
